102400,025620,5600,2,730,14.99,96.86,3771828,3653504,-118324,13713,17900,4187,7565701,5600,5620,5600,6266,55,90,71861,108813,3290,2976
102600,025620,5640,2,770,15.81,97.14,3776159,3668271,-107888,13837,18087,4250,7584799,5630,5640,5620,2218,3,12,79732,82381,3,2215
102700,025620,5640,2,770,15.81,97.51,3793556,3699013,-94543,13921,18320,4399,7632938,5650,5650,5640,5117,9,29,73117,62448,2659,2458
102800,025620,5680,2,810,16.63,97.8,3797845,3714190,-83655,13943,18445,4502,7652404,5640,5680,5630,14700,10,90,84584,44395,759,13941
103000,025620,5660,2,790,16.22,98.05,3803555,3729463,-74092,13980,18680,4700,7673387,5660,5670,5660,799,2,6,87904,35888,72,727
103100,025620,5670,2,800,16.43,98.95,3832552,3792388,-40164,14076,19017,4941,7765565,5690,5690,5650,10955,39,22,54781,37886,10031,924
103200,025620,5670,2,800,16.43,98.71,3848217,3798417,-49800,14125,19126,5001,7787319,5700,5700,5650,15685,30,67,66403,61256,13426,2259
103400,025620,5650,2,780,16.02,98.29,3867754,3801589,-66165,14183,19268,5085,7810028,5650,5650,5640,817,6,9,44392,74961,767,50
103500,025620,5610,2,740,15.2,97.78,3889623,3803383,-86240,14248,19317,5069,7833691,5640,5650,5610,14480,25,1,33585,89625,14478,2
103600,025620,5580,2,710,14.58,96.97,3924539,3805611,-118928,14347,19337,4990,7870835,5610,5610,5580,27483,65,7,14913,126467,26011,1472
103800,025620,5570,2,700,14.37,95.7,3983908,3812492,-171416,14491,19365,4874,7937231,5570,5580,5570,500,8,4,14462,113854,458,42
103900,025620,5570,2,700,14.37,95.59,3998648,3822499,-176149,14602,19412,4810,7961988,5560,5590,5560,9810,73,31,15438,131446,6840,2970
104000,025620,5620,2,750,15.4,95.71,4005452,3833553,-171899,14687,19577,4890,7979846,5590,5630,5580,15441,64,157,52414,80650,5010,10431
104200,025620,5550,2,680,13.96,95.0,4037078,3835068,-202010,14736,19602,4866,8012987,5560,5570,5550,12217,19,7,18505,127234,12101,116
104300,025620,5560,2,690,14.17,94.58,4060069,3840074,-219995,14819,19653,4834,8040985,5550,5570,5550,7223,26,22,30344,127836,5492,1731
104500,025620,5570,2,700,14.37,94.41,4075315,3847611,-227704,14865,19674,4809,8064152,5570,5570,5570,1500,6,0,33390,126767,1500,0
104600,025620,5590,2,720,14.78,94.37,4080071,3850525,-229546,14887,19686,4799,8071822,5590,5590,5580,2669,8,7,36939,143774,2145,524
104700,025620,5580,2,710,14.58,94.27,4085013,3851143,-233870,14914,19699,4785,8077382,5580,5590,5580,2895,19,8,37716,148119,2418,477
104900,025620,5600,2,730,14.99,94.39,4091494,3861883,-229611,14934,19719,4785,8094603,5600,5600,5600,3448,0,8,37912,137596,0,3448
105000,025620,5610,2,740,15.2,94.43,4096712,3868409,-228303,14955,19748,4793,8106347,5600,5610,5590,2956,8,10,57228,97128,1324,1632
105100,025620,5640,2,770,15.81,94.65,4104820,3885078,-219742,15094,20060,4966,8131124,5610,5640,5610,23809,135,308,77233,48642,7649,16160
