092700,33626L,12100,2,1250,11.52,97.33,66971,65181,-1790,540,1788,1248,152736,12150,12150,12000,1813,14,5,10647,7536,1178,635
092800,33626L,12100,2,1250,11.52,98.68,67589,66699,-890,545,1801,1256,154872,12000,12100,11950,2066,4,8,12546,7111,598,1468
092800,33626L,12100,2,1250,11.52,98.89,67618,66867,-751,547,1803,1256,155069,12000,12150,11950,2263,6,10,12437,7072,627,1636
092900,33626L,12100,2,1250,11.52,99.14,68013,67431,-582,550,1810,1260,156028,12100,12150,12050,672,2,6,10183,7589,123,549
092900,33626L,12100,2,1250,11.52,100.54,68036,68402,366,553,1814,1261,157022,12100,12150,12050,1666,5,10,10224,6642,146,1520
093000,33626L,12150,2,1300,11.98,100.59,68036,68437,401,553,1816,1263,157057,12150,12150,12150,30,0,1,14092,7018,0,30
093000,33626L,12100,2,1250,11.52,99.86,68541,68447,-94,555,1818,1263,157572,12150,12150,12100,545,2,3,14092,7113,505,40
093100,33626L,12100,2,1250,11.52,99.77,68657,68497,-160,557,1820,1263,157738,12150,12150,12100,136,2,1,14042,6546,116,20
093100,33626L,12050,2,1200,11.06,99.66,68732,68497,-235,560,1820,1260,157813,12150,12150,12050,211,5,1,12192,6939,191,20
093200,33626L,12000,2,1150,10.6,99.47,68981,68614,-367,564,1821,1257,158179,12050,12100,12000,366,4,1,12320,7091,249,117
093200,33626L,11900,2,1050,9.68,98.44,69736,68649,-1087,570,1822,1252,158969,12050,12100,11900,1156,10,2,7055,8352,1004,152
093300,33626L,11800,2,950,8.76,96.41,71209,68650,-2559,585,1823,1238,160443,11900,11900,11800,1474,15,1,5793,7579,1473,1
093400,33626L,11800,2,950,8.76,94.11,73058,68753,-4305,600,1826,1226,162395,11800,11800,11800,0,0,0,6124,5185,0,0
093400,33626L,11750,2,900,8.29,92.23,74571,68780,-5791,602,1829,1227,163935,11800,11800,11750,1540,2,3,6097,5705,1513,27
093500,33626L,11750,2,900,8.29,92.23,74571,68780,-5791,602,1829,1227,163935,11750,11750,11750,0,0,0,6097,5705,0,0
093500,33626L,11750,2,900,8.29,92.23,74571,68780,-5791,602,1829,1227,163935,11750,11750,11750,0,0,0,6097,5705,0,0
093600,33626L,11750,2,900,8.29,92.23,74571,68780,-5791,602,1829,1227,163935,11750,11750,11750,0,0,0,6097,5705,0,0
093600,33626L,11750,2,900,8.29,92.86,74571,69243,-5328,602,1834,1232,167440,11700,11750,11700,3505,0,5,7253,7953,0,463
093700,33626L,11550,2,700,6.45,90.29,76964,69487,-7477,620,1850,1230,170077,11550,11550,11550,158,4,0,8006,8985,158,0
093700,33626L,11650,2,800,7.37,89.68,78042,69986,-8056,631,1863,1232,171654,11550,11650,11550,1735,15,13,7073,9680,1236,499
093800,33626L,11700,2,850,7.83,91.29,79336,72425,-6911,644,1872,1228,175387,11700,11700,11700,154,1,1,6010,10313,144,10
093800,33626L,11650,2,800,7.37,90.19,80344,72464,-7880,646,1882,1236,176434,11700,11700,11600,1201,3,11,5700,8646,1152,49
093900,33626L,11600,2,750,6.91,90.24,80677,72803,-7874,650,1898,1248,177106,11600,11600,11600,1,0,1,6320,10725,0,1
093900,33626L,11700,2,850,7.83,91.71,80897,74194,-6703,654,1912,1258,178717,11600,11700,11550,1612,4,15,5866,10548,220,1392
094000,33626L,11650,2,800,7.37,91.43,81154,74196,-6958,657,1914,1257,178976,11650,11700,11650,258,3,1,4971,10949,257,1
094000,33626L,11800,2,950,8.76,92.76,81450,75554,-5896,662,1937,1275,180630,11650,11800,11650,1912,8,24,6289,9181,553,1359
094100,33626L,11750,2,900,8.29,94.17,81656,76896,-4760,665,1949,1284,182178,11800,11800,11750,305,2,2,5972,8546,203,102
094100,33626L,11750,2,900,8.29,93.96,82277,77306,-4971,667,1966,1299,183209,11800,11800,11700,1336,4,19,4917,8294,824,512
094200,33626L,11750,2,900,8.29,94.07,82581,77681,-4900,675,1968,1293,183888,11750,11750,11750,20,3,0,5402,9297,20,0
094200,33626L,11750,2,900,8.29,93.62,82983,77689,-5294,686,1971,1285,184298,11750,11750,11750,430,14,3,5549,9094,422,8
094300,33626L,11750,2,900,8.29,93.56,83054,77703,-5351,689,1972,1283,184383,11750,11750,11750,0,0,0,5449,9082,0,0
094300,33626L,11750,2,900,8.29,93.61,83077,77770,-5307,690,1974,1284,184473,11700,11750,11700,90,1,2,5091,9425,23,67
094400,33626L,11850,2,1000,9.22,93.96,83137,78118,-5019,691,1980,1289,184881,11800,11850,11800,316,0,4,5465,10064,0,316
094400,33626L,11850,2,1000,9.22,95.29,83283,79361,-3922,694,1987,1293,186270,11800,11850,11800,1705,3,11,6310,10643,146,1559
094500,33626L,11900,2,1050,9.68,94.92,83624,79376,-4248,698,1991,1293,186626,11900,11900,11900,0,0,0,6735,10720,0,0
094500,33626L,11850,2,1000,9.22,94.95,83679,79451,-4228,700,1993,1293,186756,11850,11850,11850,130,2,2,7094,11388,55,75
094600,33626L,11850,2,1000,9.22,95.31,83976,80036,-3940,705,1998,1293,187638,11800,11850,11800,578,2,2,6904,10657,78,500
094600,33626L,11900,2,1050,9.68,95.58,83976,80265,-3711,705,2003,1298,187867,11800,11900,11800,807,2,7,7229,11323,78,729
094700,33626L,11900,2,1050,9.68,95.82,84067,80554,-3513,706,2005,1299,188247,11900,11900,11900,10,0,1,6542,10332,0,10
094700,33626L,11800,2,950,8.76,96.0,84122,80754,-3368,708,2006,1298,188502,11900,11900,11800,265,2,2,6401,10703,55,210
