2019-11-01 09:54:47.617764 | 삼성바이오로직스 | 207940 | 392500 | -1.51 | 23766 | 0.04 | 3736 | 5279 | 12 | 244 | 15.72 | 22.21 
2019-11-01 09:54:57.645800 | 삼성바이오로직스 | 207940 | 392500 | -1.51 | 23787 | 0.04 | 3743 | 5305 | 7 | 26 | 15.74 | 22.30 
2019-11-01 09:55:07.669023 | SK하이닉스 | 000660 | 82400 | 0.49 | 465964 | 0.06 | 62706 | 81101 | 3 | 1 | 13.46 | 17.40 
2019-11-01 09:55:17.698409 | 삼성전자우 | 005935 | 41350 | 0.73 | 95160 | 0.01 | 15201 | 32500 | 0 | 0 | 15.97 | 34.15 
2019-11-01 09:55:27.725787 | 현대차 | 005380 | 121500 | -0.41 | 41352 | 0.02 | 6857 | 13058 | 13 | 250 | 16.58 | 31.58 
2019-11-01 09:55:37.761823 | 삼성바이오로직스 | 207940 | 393000 | -1.38 | 23834 | 0.04 | 3743 | 5305 | 7 | 26 | 15.70 | 22.26 
2019-11-01 09:55:47.798787 | 삼성바이오로직스 | 207940 | 393000 | -1.38 | 23851 | 0.04 | 3743 | 5305 | 7 | 26 | 15.69 | 22.24 
2019-11-01 09:55:57.819793 | SK하이닉스 | 000660 | 82500 | 0.61 | 468825 | 0.06 | 62706 | 81101 | 3 | 1 | 13.38 | 17.30 
2019-11-01 09:56:07.843821 | 삼성전자우 | 005935 | 41350 | 0.73 | 95381 | 0.01 | 15201 | 32500 | 0 | 0 | 15.94 | 34.07 
2019-11-01 09:56:17.882791 | 현대차 | 005380 | 121500 | -0.41 | 41498 | 0.02 | 6882 | 13180 | 25 | 122 | 16.58 | 31.76 
2019-11-01 09:56:27.911793 | 삼성바이오로직스 | 207940 | 393000 | -1.38 | 24142 | 0.04 | 3743 | 5320 | 0 | 15 | 15.50 | 22.04 
2019-11-01 09:56:37.952788 | 삼성바이오로직스 | 207940 | 393500 | -1.25 | 24150 | 0.04 | 3743 | 5320 | 0 | 15 | 15.50 | 22.03 
2019-11-01 09:56:47.974791 | SK하이닉스 | 000660 | 82400 | 0.49 | 469993 | 0.06 | 62710 | 82043 | 4 | 942 | 13.34 | 17.46 
2019-11-01 09:56:58.012819 | 삼성전자우 | 005935 | 41350 | 0.73 | 95460 | 0.01 | 15201 | 32500 | 0 | 0 | 15.92 | 34.05 
2019-11-01 09:57:08.051804 | 현대차 | 005380 | 121500 | -0.41 | 41687 | 0.02 | 6882 | 13180 | 25 | 122 | 16.51 | 31.62 
2019-11-01 09:57:18.090252 | 삼성바이오로직스 | 207940 | 393500 | -1.25 | 24274 | 0.04 | 3760 | 5383 | 17 | 63 | 15.49 | 22.18 
2019-11-01 09:57:28.114941 | 삼성바이오로직스 | 207940 | 394000 | -1.13 | 24283 | 0.04 | 3760 | 5383 | 17 | 63 | 15.48 | 22.17 
2019-11-01 09:57:38.231942 | SK하이닉스 | 000660 | 82500 | 0.61 | 470695 | 0.06 | 62714 | 82043 | 4 | 0 | 13.32 | 17.43 
2019-11-01 09:57:48.254938 | 삼성전자우 | 005935 | 41300 | 0.61 | 98799 | 0.01 | 15201 | 32500 | 0 | 0 | 15.39 | 32.90 
2019-11-01 09:57:58.277940 | 현대차 | 005380 | 122000 | 0.00 | 42456 | 0.02 | 6882 | 13331 | 0 | 151 | 16.21 | 31.40 
2019-11-01 09:58:08.314968 | 삼성바이오로직스 | 207940 | 393500 | -1.25 | 24361 | 0.04 | 3771 | 5434 | 11 | 51 | 15.48 | 22.31 
2019-11-01 09:58:18.352938 | 삼성바이오로직스 | 207940 | 394000 | -1.13 | 24363 | 0.04 | 3771 | 5434 | 11 | 51 | 15.48 | 22.30 
2019-11-01 09:58:28.374893 | SK하이닉스 | 000660 | 82400 | 0.49 | 472735 | 0.06 | 62718 | 82043 | 4 | 0 | 13.27 | 17.35 
2019-11-01 09:58:38.412089 | 삼성전자우 | 005935 | 41350 | 0.73 | 99461 | 0.01 | 15201 | 32500 | 0 | 0 | 15.28 | 32.68 
2019-11-01 09:58:48.454495 | 현대차 | 005380 | 121500 | -0.41 | 42577 | 0.02 | 6882 | 14004 | 0 | 673 | 16.16 | 32.89 
2019-11-01 09:58:58.502668 | 삼성바이오로직스 | 207940 | 393000 | -1.38 | 24517 | 0.04 | 3793 | 5434 | 22 | 0 | 15.47 | 22.16 
2019-11-01 09:59:08.529132 | 삼성바이오로직스 | 207940 | 393000 | -1.38 | 24523 | 0.04 | 3793 | 5434 | 22 | 0 | 15.47 | 22.16 
2019-11-01 09:59:18.568181 | SK하이닉스 | 000660 | 82400 | 0.49 | 474014 | 0.07 | 63020 | 82783 | 302 | 740 | 13.29 | 17.46 
