,code,jnilvolume,price,priceVolume,volume
0,041960,979693,16200,3288324600,202983
1,226330,2969333,15000,1406685000,93779
2,041910,7450010,17550,894014550,50941
3,000440,1757607,9290,669966930,72117
4,225430,1772778,3000,425457000,141819
5,073070,4661884,1755,401257935,228637
6,250930,283622,2830,234601340,82898
7,054090,853327,2175,157602675,72461
8,208370,2596912,3970,152880730,38509
9,218150,282119,3180,109678200,34490
10,222810,48460114,1395,86985225,62355
11,058450,174595,1785,74573730,41778
12,039980,10379635,1515,67594755,44617
13,010280,493790,2005,47570630,23726
14,241790,190480,10600,20585200,1942
15,053260,20028,3630,1038180,286
16,080440,202173,1740,880440,506
17,264850,26053,2065,774375,375
18,076612,76691,475,950,2
19,052422,137111,82,246,3
